time_step,model_1,model_2,outcome
5,Glicko,TrueSkill,0.0
5,Glicko,TrueSkill,0.0
5,Glicko,TrueSkill,0.0
5,Glicko,TrueSkill,0.0
5,Glicko,TrueSkill,0.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Glicko,1.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,1.0
6,Elo,Glicko,1.0
6,Elo,Glicko,0.0
6,Elo,Glicko,0.0
6,Elo,Glicko,0.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
6,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Glicko,0.0
6,Elo,Glicko,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,1.0
6,Glicko,Weng-Lin Thurstone-Mosteller,1.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,TrueSkill,0.0
6,Glicko,TrueSkill,0.0
6,Glicko,TrueSkill,0.0
6,Elo,Glicko,1.0
6,Glicko,TrueSkill,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,1.0
6,Elo,Glicko,1.0
6,Elo,Glicko,0.0
6,Elo,Glicko,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,1.0
6,Elo,Glicko,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,Weng-Lin Thurstone-Mosteller,0.0
6,Glicko,TrueSkill,0.0
6,Elo,Weng-Lin Thurstone-Mosteller,1.0
6,Elo,Weng-Lin Thurstone-Mosteller,0.0
6,Elo,TrueSkill,0.0
6,Elo,TrueSkill,0.0
6,Elo,TrueSkill,0.0
